Trials: 100
expected 	actual	 difference
2	1	1
52	43	9
15	16	-1
12	8	4
77	85	-8
98	98	0
0	1	-1
99	100	-1
18	19	-1
39	35	4
72	77	-5
88	82	6
20	15	5
99	100	-1
65	65	0
45	39	6
2	3	-1
76	85	-9
29	27	2
60	59	1
32	34	-2
41	39	2
35	33	2
32	38	-6
26	18	8
16	24	-8
99	99	0
94	94	0
97	97	0
100	100	0
79	86	-7
44	32	12
2	3	-1
100	100	0
20	20	0
75	73	2
100	100	0
1	1	0
0	0	0
78	77	1
3	6	-3
92	89	3
33	41	-8
52	63	-11
32	33	-1
72	71	1
42	48	-6
22	22	0
93	90	3
82	91	-9
88	84	4
94	92	2
72	71	1
98	100	-2
17	14	3
74	74	0
90	95	-5
84	88	-4
47	40	7
10	10	0
6	7	-1
58	57	1
82	75	7
0	1	-1
17	18	-1
98	97	1
87	81	6
99	100	-1
4	3	1
58	53	5
9	13	-4
37	32	5
Difference column mean: 0.083333
