Trials: 100
expected 	actual	 difference
3	5	-2
1	1	0
29	44	-15
92	95	-3
0	0	0
82	86	-4
99	99	0
3	2	1
19	14	5
4	8	-4
19	26	-7
2	3	-1
10	11	-1
33	41	-8
0	1	-1
99	99	0
54	52	2
36	33	3
95	96	-1
51	51	0
41	38	3
17	19	-2
67	70	-3
69	65	4
93	95	-2
44	49	-5
100	100	0
4	6	-2
93	94	-1
0	0	0
99	100	-1
9	7	2
93	92	1
90	88	2
73	66	7
94	95	-1
99	97	2
97	95	2
99	98	1
97	95	2
8	3	5
7	4	3
0	0	0
56	51	5
53	56	-3
43	51	-8
48	47	1
67	71	-4
53	54	-1
97	100	-3
78	78	0
26	25	1
75	75	0
100	100	0
5	7	-2
39	41	-2
34	35	-1
9	8	1
76	74	2
2	3	-1
62	67	-5
72	77	-5
64	65	-1
93	86	7
53	46	7
4	2	2
67	64	3
99	99	0
2	4	-2
18	13	5
21	17	4
56	58	-2
Difference column mean: -0.291667
