Trials: 100
expected 	actual	 difference
99	97	2
8	9	-1
25	22	3
0	0	0
1	0	1
85	90	-5
4	6	-2
9	7	2
30	33	-3
92	92	0
8	9	-1
2	4	-2
5	9	-4
89	85	4
13	13	0
5	5	0
99	100	-1
1	0	1
47	40	7
94	94	0
87	80	7
56	62	-6
53	58	-5
3	1	2
1	0	1
77	79	-2
47	47	0
100	100	0
64	58	6
100	100	0
42	42	0
87	89	-2
48	50	-2
3	4	-1
22	19	3
99	100	-1
4	2	2
20	20	0
1	0	1
58	61	-3
78	76	2
1	4	-3
0	0	0
4	3	1
1	2	-1
16	14	2
49	43	6
56	65	-9
52	59	-7
3	1	2
97	95	2
15	23	-8
61	65	-4
94	92	2
10	6	4
98	95	3
18	26	-8
99	98	1
35	30	5
94	92	2
70	64	6
64	66	-2
96	95	1
99	99	0
52	45	7
100	99	1
91	85	6
85	83	2
68	60	8
100	100	0
54	51	3
61	63	-2
Difference column mean: 0.319444
