Trials: 100
expected 	actual	 difference
92	94	-2
19	22	-3
100	100	0
28	28	0
85	88	-3
98	99	-1
0	0	0
15	14	1
23	15	8
92	89	3
14	17	-3
67	73	-6
90	89	1
90	86	4
80	86	-6
100	100	0
73	74	-1
6	2	4
96	94	2
84	82	2
26	33	-7
92	89	3
65	63	2
82	85	-3
7	7	0
54	59	-5
90	95	-5
83	78	5
53	60	-7
74	74	0
53	50	3
19	20	-1
1	1	0
100	100	0
0	1	-1
51	52	-1
11	10	1
67	74	-7
89	90	-1
78	79	-1
0	0	0
68	75	-7
70	66	4
44	51	-7
8	13	-5
83	80	3
100	100	0
86	83	3
59	60	-1
3	6	-3
92	93	-1
52	50	2
58	56	2
61	65	-4
69	58	11
7	8	-1
4	6	-2
4	9	-5
2	5	-3
75	72	3
94	92	2
6	3	3
99	99	0
7	5	2
71	69	2
85	88	-3
95	95	0
94	85	9
91	93	-2
3	5	-2
4	2	2
35	34	1
Difference column mean: -0.305556
