958, 6149, 461, 924, 444, 454, 928, 484, 455, 
968, 438, 6142, 921, 489, 465, 899, 458, 450, 
1842, 977, 941, 1829, 947, 968, 1838, 937, 954, 
936, 466, 442, 935, 6075, 434, 879, 413, 445, 
917, 484, 449, 918, 434, 6091, 930, 448, 441, 
1862, 911, 941, 1827, 936, 924, 1781, 980, 950, 
914, 456, 439, 914, 459, 442, 858, 5935, 432, 
965, 438, 456, 926, 447, 434, 927, 454, 5975, 
1895, 911, 962, 1831, 881, 900, 1809, 913, 957, 

1230, 1280, 1258, 1218, 1273, 1194, 1288, 1294, 1225, 
1269, 1285, 1233, 1167, 1272, 1217, 1206, 1199, 1303, 
1286, 1219, 1160, 1202, 1247, 1245, 1209, 1202, 1128, 
1233, 1178, 1213, 1228, 1174, 1195, 1221, 1222, 1240, 
1243, 1264, 1227, 1190, 1283, 1248, 1281, 1241, 1232, 
1242, 1227, 1242, 1190, 1185, 1281, 1215, 1266, 1243, 
1242, 1219, 1162, 1227, 1298, 1233, 1251, 1239, 1239, 
1254, 1226, 1233, 1253, 1238, 1210, 1198, 1266, 1256, 
1261, 1253, 1169, 1230, 1239, 1268, 1241, 1205, 1276, 
