Trials: 100
expected 	actual	 difference
85	86	-1
8	7	1
79	79	0
87	84	3
98	100	-2
41	41	0
6	7	-1
9	10	-1
30	26	4
98	94	4
14	15	-1
87	85	2
97	99	-2
98	99	-1
46	39	7
25	18	7
19	19	0
1	0	1
27	28	-1
1	0	1
80	85	-5
14	16	-2
56	55	1
82	87	-5
19	19	0
29	33	-4
35	44	-9
6	8	-2
0	1	-1
0	0	0
34	31	3
5	7	-2
96	94	2
1	1	0
70	72	-2
0	0	0
67	64	3
68	69	-1
74	76	-2
2	0	2
94	94	0
92	91	1
0	0	0
54	52	2
12	12	0
80	76	4
37	35	2
0	0	0
79	88	-9
100	99	1
11	14	-3
76	72	4
2	4	-2
15	12	3
4	5	-1
11	15	-4
15	15	0
92	96	-4
3	3	0
74	70	4
83	88	-5
98	99	-1
88	95	-7
76	78	-2
10	11	-1
87	87	0
83	91	-8
81	85	-4
100	100	0
44	43	1
85	81	4
97	97	0
Difference column mean: -0.402778
