Trials: 100
expected 	actual	 difference
33	39	-6
15	18	-3
7	3	4
18	17	1
73	71	2
24	15	9
2	0	2
98	100	-2
42	38	4
13	8	5
96	96	0
87	86	1
46	50	-4
74	81	-7
67	78	-11
82	75	7
36	40	-4
5	3	2
11	11	0
67	75	-8
92	88	4
85	83	2
2	3	-1
51	58	-7
93	97	-4
24	27	-3
55	50	5
99	98	1
98	99	-1
0	0	0
14	12	2
96	95	1
78	85	-7
7	2	5
100	100	0
88	87	1
22	28	-6
31	35	-4
3	3	0
45	40	5
89	92	-3
1	0	1
98	100	-2
99	99	0
100	100	0
86	83	3
100	100	0
13	18	-5
99	100	-1
96	94	2
86	88	-2
99	95	4
99	100	-1
4	3	1
0	0	0
49	37	12
83	84	-1
6	6	0
32	26	6
1	0	1
92	91	1
93	94	-1
86	94	-8
71	65	6
21	20	1
95	97	-2
47	47	0
6	8	-2
86	80	6
97	97	0
100	99	1
71	71	0
Difference column mean: 0.027778
