Trials: 100
expected 	actual	 difference
83	75	8
74	71	3
77	78	-1
97	96	1
82	81	1
100	100	0
85	83	2
99	100	-1
11	17	-6
45	55	-10
2	1	1
14	8	6
63	64	-1
76	76	0
6	8	-2
24	20	4
40	47	-7
83	84	-1
80	87	-7
85	79	6
3	1	2
1	0	1
58	54	4
98	98	0
86	86	0
91	92	-1
3	0	3
75	75	0
94	94	0
65	65	0
2	0	2
9	10	-1
8	6	2
0	1	-1
0	0	0
78	77	1
58	48	10
57	55	2
88	92	-4
87	88	-1
97	96	1
41	31	10
0	3	-3
1	1	0
72	72	0
96	97	-1
44	43	1
26	15	11
100	100	0
33	39	-6
0	1	-1
96	95	1
56	55	1
48	50	-2
0	1	-1
88	91	-3
50	42	8
76	73	3
11	10	1
99	99	0
0	1	-1
96	95	1
100	100	0
66	71	-5
98	98	0
36	34	2
7	7	0
90	97	-7
84	85	-1
96	100	-4
47	40	7
97	98	-1
Difference column mean: 0.361111
