Trials: 100
expected 	actual	 difference
44	40	4
73	83	-10
47	48	-1
98	99	-1
99	99	0
56	56	0
4	2	2
100	100	0
1	0	1
92	87	5
21	23	-2
14	8	6
4	1	3
5	3	2
8	6	2
0	0	0
79	72	7
72	81	-9
82	77	5
72	67	5
88	87	1
97	98	-1
2	0	2
8	7	1
86	84	2
24	23	1
87	87	0
1	0	1
3	3	0
68	69	-1
88	91	-3
93	91	2
0	0	0
8	10	-2
11	11	0
35	34	1
96	99	-3
80	81	-1
98	99	-1
96	98	-2
90	93	-3
7	7	0
79	70	9
25	25	0
85	84	1
11	10	1
55	46	9
97	97	0
31	34	-3
97	100	-3
98	99	-1
82	81	1
31	26	5
85	79	6
22	22	0
97	100	-3
45	52	-7
63	60	3
25	26	-1
96	95	1
94	93	1
62	65	-3
1	0	1
98	95	3
2	6	-4
1	1	0
7	4	3
34	33	1
14	9	5
92	92	0
99	99	0
0	0	0
Difference column mean: 0.527778
