Trials: 100
expected 	actual	 difference
8	8	0
51	48	3
89	91	-2
59	61	-2
2	0	2
2	2	0
97	95	2
71	73	-2
35	31	4
4	2	2
20	21	-1
57	51	6
90	96	-6
24	15	9
92	90	2
92	96	-4
7	10	-3
50	40	10
85	87	-2
89	83	6
73	76	-3
99	98	1
4	1	3
89	85	4
97	97	0
16	15	1
40	44	-4
51	51	0
45	42	3
19	23	-4
79	82	-3
92	93	-1
100	100	0
26	32	-6
57	53	4
65	68	-3
36	29	7
2	4	-2
36	37	-1
79	71	8
68	67	1
39	39	0
61	62	-1
73	76	-3
0	1	-1
65	58	7
35	36	-1
28	28	0
34	26	8
0	0	0
92	96	-4
87	84	3
47	53	-6
100	100	0
99	99	0
14	12	2
25	20	5
86	89	-3
50	37	13
47	51	-4
3	1	2
5	6	-1
35	31	4
13	14	-1
91	91	0
87	93	-6
85	82	3
71	71	0
54	53	1
90	91	-1
81	82	-1
100	100	0
Difference column mean: 0.611111
