Trials: 100
expected 	actual	 difference
92	93	-1
60	62	-2
16	21	-5
0	0	0
60	61	-1
26	21	5
15	19	-4
34	35	-1
100	100	0
96	98	-2
19	18	1
13	13	0
99	98	1
96	98	-2
73	68	5
82	86	-4
84	87	-3
99	100	-1
1	0	1
2	1	1
6	3	3
96	95	1
5	3	2
89	90	-1
96	97	-1
100	100	0
2	1	1
82	81	1
21	26	-5
0	1	-1
100	100	0
99	99	0
66	59	7
78	77	1
7	5	2
26	28	-2
59	62	-3
100	99	1
55	55	0
56	51	5
97	99	-2
74	76	-2
100	100	0
100	100	0
18	14	4
49	52	-3
24	24	0
98	98	0
46	49	-3
67	74	-7
92	93	-1
100	99	1
0	1	-1
97	96	1
11	10	1
22	23	-1
2	4	-2
10	15	-5
98	98	0
90	93	-3
86	85	1
32	35	-3
100	100	0
17	13	4
47	49	-2
10	12	-2
83	73	10
76	80	-4
99	100	-1
80	78	2
2	1	1
28	37	-9
Difference column mean: -0.375000
