Trials: 100
expected 	actual	 difference
34	24	10
60	62	-2
80	78	2
1	1	0
97	95	2
76	83	-7
89	85	4
34	40	-6
99	99	0
5	4	1
3	6	-3
90	93	-3
94	93	1
3	3	0
99	100	-1
89	86	3
32	33	-1
43	50	-7
40	37	3
95	98	-3
31	26	5
53	53	0
15	18	-3
29	26	3
67	72	-5
98	93	5
64	73	-9
0	1	-1
87	92	-5
99	98	1
14	10	4
96	96	0
33	36	-3
71	69	2
66	63	3
72	81	-9
31	26	5
100	100	0
2	1	1
13	16	-3
0	0	0
6	4	2
27	28	-1
68	71	-3
14	17	-3
80	82	-2
44	51	-7
89	94	-5
6	4	2
99	97	2
50	51	-1
26	25	1
96	97	-1
98	98	0
24	18	6
4	3	1
8	6	2
47	44	3
93	96	-3
98	100	-2
85	83	2
4	5	-1
9	11	-2
62	63	-1
94	98	-4
52	55	-3
1	0	1
94	90	4
32	36	-4
96	97	-1
92	91	1
1	0	1
Difference column mean: -0.444444
