Trials: 100
expected 	actual	 difference
6	11	-5
73	72	1
0	0	0
8	7	1
2	1	1
30	36	-6
49	55	-6
97	97	0
99	99	0
81	85	-4
46	37	9
97	98	-1
11	10	1
2	0	2
14	11	3
30	39	-9
53	55	-2
99	100	-1
99	99	0
22	19	3
38	30	8
71	65	6
95	94	1
4	5	-1
39	39	0
17	17	0
7	5	2
99	100	-1
67	69	-2
100	100	0
72	78	-6
61	60	1
98	98	0
80	77	3
2	5	-3
0	1	-1
99	100	-1
99	99	0
72	73	-1
3	2	1
99	98	1
46	52	-6
38	36	2
85	85	0
28	32	-4
95	97	-2
99	97	2
3	4	-1
2	3	-1
98	99	-1
55	49	6
40	39	1
33	35	-2
16	12	4
29	28	1
3	0	3
66	67	-1
8	4	4
100	100	0
99	98	1
86	87	-1
6	10	-4
93	95	-2
74	82	-8
21	25	-4
30	29	1
93	90	3
60	56	4
55	63	-8
17	12	5
89	86	3
5	4	1
Difference column mean: -0.138889
