Trials: 100
expected 	actual	 difference
52	47	5
92	94	-2
43	48	-5
36	37	-1
6	9	-3
94	91	3
31	31	0
52	51	1
55	57	-2
100	100	0
29	20	9
99	100	-1
20	27	-7
4	2	2
97	97	0
0	0	0
86	86	0
93	89	4
98	97	1
44	46	-2
25	25	0
99	97	2
77	83	-6
87	90	-3
48	49	-1
69	69	0
80	83	-3
17	11	6
64	62	2
4	4	0
4	3	1
5	6	-1
3	2	1
61	60	1
100	100	0
95	96	-1
4	2	2
36	38	-2
26	35	-9
60	58	2
95	96	-1
65	60	5
49	47	2
100	100	0
29	30	-1
70	67	3
1	0	1
68	75	-7
86	83	3
9	10	-1
19	19	0
63	59	4
31	35	-4
68	65	3
10	14	-4
99	100	-1
9	6	3
85	80	5
80	73	7
89	89	0
38	35	3
87	90	-3
96	94	2
61	62	-1
33	43	-10
28	26	2
2	3	-1
14	13	1
51	50	1
88	94	-6
14	17	-3
1	2	-1
Difference column mean: -0.083333
