Trials: 100
expected 	actual	 difference
14	15	-1
93	93	0
28	19	9
98	99	-1
42	41	1
39	39	0
1	1	0
77	78	-1
0	0	0
10	7	3
100	100	0
1	0	1
99	100	-1
5	4	1
10	11	-1
97	98	-1
6	7	-1
74	76	-2
100	100	0
12	13	-1
5	5	0
18	16	2
3	3	0
56	40	16
38	36	2
84	87	-3
33	29	4
5	3	2
8	6	2
3	2	1
42	41	1
97	96	1
0	1	-1
3	1	2
76	79	-3
7	8	-1
33	30	3
80	79	1
66	59	7
98	98	0
89	94	-5
1	1	0
2	4	-2
98	97	1
99	100	-1
91	94	-3
44	40	4
99	100	-1
7	7	0
96	96	0
15	11	4
86	88	-2
14	13	1
2	0	2
96	97	-1
89	86	3
81	88	-7
2	2	0
37	36	1
86	85	1
89	87	2
45	46	-1
47	44	3
4	3	1
3	3	0
2	3	-1
33	31	2
70	72	-2
0	0	0
80	83	-3
82	85	-3
69	76	-7
Difference column mean: 0.375000
