in1, 95, 91, 91, 95, 1, 5, 3, 8, 5, 4, 4, 3, 5, 4, 3, 8, 5, 5, 7, 6, 0, 7, 6, 4, 5, 5, 4, 3, 7, 5, 6, 6, 0, 6, 6, 5, 
in2, 5, 4, 1, 6, 97, 99, 95, 94, 6, 4, 3, 5, 7, 3, 4, 8, 6, 2, 2, 8, 5, 4, 5, 4, 2, 6, 5, 7, 5, 3, 2, 6, 4, 5, 4, 3, 
in3, 2, 3, 6, 6, 3, 4, 6, 7, 95, 99, 96, 88, 4, 1, 7, 6, 3, 5, 7, 6, 6, 3, 3, 5, 2, 4, 4, 4, 6, 4, 2, 0, 7, 12, 8, 4, 
in4, 7, 5, 3, 5, 4, 3, 3, 1, 4, 11, 7, 4, 93, 95, 95, 95, 4, 6, 9, 8, 1, 3, 3, 6, 4, 6, 4, 3, 5, 6, 3, 5, 7, 1, 4, 4, 
in5, 8, 5, 5, 2, 9, 7, 6, 6, 5, 3, 2, 3, 1, 6, 8, 2, 96, 97, 95, 95, 5, 6, 2, 5, 4, 5, 4, 4, 4, 3, 7, 2, 5, 3, 5, 6, 
in6, 4, 6, 2, 7, 5, 2, 5, 2, 5, 5, 5, 3, 6, 5, 1, 3, 4, 1, 5, 4, 97, 97, 91, 91, 1, 10, 4, 5, 5, 6, 5, 8, 6, 4, 3, 5, 
in7, 5, 5, 6, 1, 8, 9, 5, 4, 2, 3, 4, 6, 2, 1, 4, 4, 7, 2, 5, 3, 6, 5, 8, 5, 98, 95, 94, 96, 3, 2, 1, 4, 1, 5, 5, 6, 
in8, 3, 7, 8, 5, 2, 9, 12, 2, 6, 8, 5, 2, 7, 2, 4, 3, 9, 4, 9, 4, 2, 8, 2, 4, 6, 5, 4, 6, 97, 96, 93, 94, 4, 5, 5, 4, 
in9, 2, 5, 4, 6, 7, 12, 4, 5, 6, 3, 6, 8, 9, 3, 5, 3, 5, 9, 3, 6, 3, 7, 2, 4, 4, 4, 5, 5, 2, 4, 5, 6, 97, 97, 95, 94, 
